subset,k,loss_mean,loss_median,loss_se,nmae_N,nmae_P,nmae_K,change_vs_baseline_pct
none,0,1.442895927136219,1.0438586440183824,0.41872602538932585,1.251629968586867,1.21047936529168,1.86657844753011,0.0
OM,1,1.392692878617964,1.034395408950468,0.40773947711959224,1.1644707315303995,1.2342007760393885,1.7794071282841044,3.4793256792882654
OM+K,2,1.4168407144005188,0.9729083091240884,0.40576184197356974,1.159349218760239,1.30380826248258,1.7873646619587369,1.8057582841343984
OM+P+K,3,1.4460929763765202,1.0001161086410653,0.4034260156957471,1.2285154786254084,1.2078779993881463,1.901885451116006,-0.22157171422935645
pH+OM+P+K,4,1.4943754130370157,1.0726894045876527,0.4084423238221178,1.2811163511059993,1.2598046443711735,1.9422052436338744,-3.5677892585760107
