subset,cost_usd,loss_mean
none,0.0,1.442895927136219
OM,5.0,1.392692878617964
pH,10.0,1.499494744582679
pH+OM,15.0,1.4340086145354443
pH+P+K,20.0,1.5154589450881535
pH+OM+P+K,25.0,1.4943754130370157
