alpha,first_measurement,first_voi,order,baseline_loss,full_loss
0.1,OM,0.011048752955499896,OM > P > K > pH,1.6390082246940674,2.1898478015535385
1.0,OM,0.024407936197615943,OM > P > K > pH,1.6030577019165078,1.9952883579304102
10.0,OM,0.05020304851825497,OM > K > P > pH,1.442895927136219,1.4943754130370157
100.0,OM,0.012624141293914315,OM > K > P > pH,1.301512967652257,1.3066620770418869
