k,loss_mean,loss_sd
0,1.5997873135441354,0.0
1,1.6040999909839637,0.04924167376595256
2,1.6016452944382038,0.0507577738002771
3,1.594928899104703,0.045082881761366704
4,1.5900503206379897,0.0
