alpha,first_measurement,order,baseline_loss,full_loss
0.1,pH,pH > OM > K > P,2.0572930289763214,2.041223858953651
1.0,pH,pH > OM > K > P,1.9669941587656723,1.9252731909459782
10.0,pH,pH > OM > K > P,1.5997873135441354,1.5900503206379897
100.0,OM,OM > K > P > pH,1.3179439035513878,1.3243833974075687
